"Number","Address","Data","Content","Time","AUX",
"","","","D7 TSTB     ","","",
"","","","OP-CODE Fetch","","",
"57.0","00.003C","443C","COPCTL","19.224983 ms
19.224983 ms","0000",
"","","","Memory Write","","",
"59.0","00.14D4","3FEC","debugIOFaultArg","0 ns
350 ns
350 ns","0000",
"","","","debugIOFaultCode","","",
"","","","Memory Write","","",
"60.0","00.14D6","42E7","debugIOFaultDriver","0 ns
7.936417 ms
7.936417 ms","0000",
"","","","CfgRxBuf","","",
"","","","Memory Write","","",
"61.0","00.14D4","01D4","debugIOFaultArg","117 ns
117 ns","0000",
"","","","Memory Write","","",
"62.0","00.14D4","02D4","debugIOFaultArg","166 ns
166 ns","0000",
"","","","Memory Write","","",
"63.0","00.14D4","04D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"64.0","00.14D4","08D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"65.0","00.14D4","10D4","debugIOFaultArg","150 ns
150 ns","0000",
"","","","Memory Write","","",
"66.0","00.14D4","20D4","debugIOFaultArg","166 ns
166 ns","0000",
"","","","Memory Write","","",
"67.0","00.14D4","40D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"68.0","00.14D4","80D4","debugIOFaultArg","167 ns
167 ns","0000",
"","","","Memory Write","","",
"69.0","00.14D4","00D4","debugIOFaultArg","483 ns
2.233 us","0000",
"","","","Memory Write","","",
"70.0","00.14D4","1401","debugIOFaultCode","117 ns
1.750 us","0000",
"","","","Memory Write","","",
"71.0","00.14D4","1402","debugIOFaultCode","166 ns
1.633 us","0000",
"","","","Memory Write","","",
"72.0","00.14D4","1404","debugIOFaultCode","167 ns
1.467 us","0000",
"","","","Memory Write","","",
"73.0","00.14D4","1408","debugIOFaultCode","150 ns
1.300 us","0000",
"","","","Memory Write","","",
"74.0","00.14D4","1410","debugIOFaultCode","167 ns
1.150 us","0000",
"","","","Memory Write","","",
"75.0","00.14D4","1420","debugIOFaultCode","166 ns
983 ns","0000",
"","","","Memory Write","","",
"76.0","00.14D4","1440","debugIOFaultCode","167 ns
817 ns","0000",
"","","","Memory Write","","",
"77.0","00.14D4","1480","debugIOFaultCode","150 ns
650 ns","0000",
"","","","Memory Write","","",
"78.0","00.14D4","1400","debugIOFaultCode","500 ns
500 ns","0000",
"","","","Memory Write","","",
"79.0","00.14D6","01D6","debugIOFaultDriver","117 ns
117 ns","0000",
"","","","Memory Write","","",
