"Number","Address","Data","Content","Time","AUX",
"55.0","00.14D2","1407","debugForeGndTaskNum","537.566 us
>738.806816 ms","0000",
"","","","Memory Write","","",
"56.0","00.14D2","1407","debugForeGndTaskNum","2.767 us
>738.269250 ms","0000",
"","","","Memory Write","","",
"57.0","00.14D2","1408","debugForeGndTaskNum","790.967 us
>738.266483 ms","0000",
"","","","Memory Write","","",
"58.0","00.14D2","1408","debugForeGndTaskNum","2.766 us
>737.475516 ms","0000",
"","","","Memory Write","","",
"59.0","00.14D2","1409","debugForeGndTaskNum","14.967 us
>737.472750 ms","0000",
"","","","Memory Write","","",
"60.0","00.14D2","1409","debugForeGndTaskNum","6.831283 ms
>737.457783 ms","0000",
"","","","Memory Write","","",
"61.0","00.14D2","1400","debugForeGndTaskNum","101.884 us
>730.626500 ms","0000",
"","","","Memory Write","","",
"62.0","00.14D2","1400","debugForeGndTaskNum","2.766 us
>730.524616 ms","0000",
"","","","Memory Write","","",
"63.0","00.14D2","1401","debugForeGndTaskNum","29.217 us
>730.521850 ms","0000",
"","","","Memory Write","","",
"64.0","00.14D2","1401","debugForeGndTaskNum","2.767 us
>730.492633 ms","0000",
"","","","Memory Write","","",
"65.0","00.14D2","1402","debugForeGndTaskNum","205.000 us
>730.489866 ms","0000",
"","","","Memory Write","","",
"66.0","00.14D2","1402","debugForeGndTaskNum","2.766 us
>730.284866 ms","0000",
"","","","Memory Write","","",
"67.0","00.14D2","1403","debugForeGndTaskNum","6.400 us
>730.282100 ms","0000",
"","","","Memory Write","","",
"68.0","00.14D2","1403","debugForeGndTaskNum","2.767 us
>730.275700 ms","0000",
"","","","Memory Write","","",
"69.0","00.14D2","1404","debugForeGndTaskNum","298.733 us
>730.272933 ms","0000",
"","","","Memory Write","","",
"70.0","00.14D2","1404","debugForeGndTaskNum","2.767 us
>729.974200 ms","0000",
"","","","Memory Write","","",
"71.0","00.14D2","1405","debugForeGndTaskNum","113.767 us
>729.971433 ms","0000",
"","","","Memory Write","","",
"72.0","00.14D2","1405","debugForeGndTaskNum","2.783 us
>729.857666 ms","0000",
"","","","Memory Write","","",
"73.0","00.14D2","1406","debugForeGndTaskNum","2.427850 ms
>729.854883 ms","0000",
"","","","Memory Write","","",
"74.0","00.14D2","1406","debugForeGndTaskNum","2.783 us
>727.427033 ms","0000",
"","","","Memory Write","","",
"75.0","00.14D2","1407","debugForeGndTaskNum","20.784 us
>727.424250 ms","0000",
"","","","Memory Write","","",
"76.0","00.14D2","1407","debugForeGndTaskNum","2.766 us
>727.403466 ms","0000",
"","","","Memory Write","","",
"77.0","00.14D2","1408","debugForeGndTaskNum","1.737267 ms
>727.400700 ms","0000",
"","","","Memory Write","","",
"78.0","00.14D2","1408","debugForeGndTaskNum","2.767 us
>725.663433 ms","0000",
"","","","Memory Write","","",
"79.0","00.14D2","1409","debugForeGndTaskNum","14.983 us
>725.660666 ms","0000",
"","","","Memory Write","","",
"80.0","00.14D2","1409","debugForeGndTaskNum","4.962033 ms
>725.645683 ms","0000",
"","","","Memory Write","","",
"81.0","00.14D2","1400","debugForeGndTaskNum","101.884 us
>720.683650 ms","0000",
"","","","Memory Write","","",
"82.0","00.14D2","1400","debugForeGndTaskNum","2.766 us
>720.581766 ms","0000",
"","","","Memory Write","","",
"83.0","00.14D2","1401","debugForeGndTaskNum","29.350 us
>720.579000 ms","0000",
"","","","Memory Write","","",
"84.0","00.14D2","1401","debugForeGndTaskNum","2.767 us
>720.549650 ms","0000",
"","","","Memory Write","","",
"85.0","00.14D2","1402","debugForeGndTaskNum","208.300 us
>720.546883 ms","0000",
"","","","Memory Write","","",
"86.0","00.14D2","1402","debugForeGndTaskNum","2.767 us
>720.338583 ms","0000",
"","","","Memory Write","","",
"87.0","00.14D2","1403","debugForeGndTaskNum","6.383 us
>720.335816 ms","0000",
"","","","Memory Write","","",
"88.0","00.14D2","1403","debugForeGndTaskNum","2.767 us
>720.329433 ms","0000",
"","","","Memory Write","","",
"89.0","00.14D2","1404","debugForeGndTaskNum","310.950 us
>720.326666 ms","0000",
"","","","Memory Write","","",
